name,lon,lat,area_ha,reason,wltype,url
"Многоозёрье левобережья реки Пур","77.25","65.16667","30000","1, 5","O, M, U","http://www.fesk.ru/wetlands/179.html"
"Чертовская система озёр","80.0","64.16667","50000","1, 5","O, Ts, Xp, M","http://www.fesk.ru/wetlands/180.html"
"Верхнее и среднее течение реки Нижняя Баиха","86.95","64.65","50600","1, 3, 5, 7","M, P, Tp, Ts, U, Xf, Xp","http://www.fesk.ru/wetlands/181.html"
"Салымо-Юганская болотная система","69.71667","60.96667","1500000","1, 2, 3","U, Xf, Xp","http://www.fesk.ru/wetlands/182.html"
"Водораздел Нумто","70.76806","63.18472","107387","1, 2, 3","M, O, Tp, P, U, Xp, Xf","http://www.fesk.ru/wetlands/183.html"
"Пойма среднего течения реки Обь","72.18333","61.25","550000","1, 2, 5, 6, 7, 8","P, Ts, Tp, O, M","http://www.fesk.ru/wetlands/184.html"
"Междуречье Назыма и Пима","70.66667","61.5","2025000","1, 2, 3, 8","M, N, O, P, Tp, U, Xp","http://www.fesk.ru/wetlands/185.html"
"Междуречье Колик-Егана и Сабун","79.45","61.31667","1288500","1, 3","M, O, P, Tp, Ts, Xf, Xp","http://www.fesk.ru/wetlands/186.html"
"Большое Васюганское болото","79.45","56.48472","5000000","1, 2, 3","U, Xf, Xp","http://www.fesk.ru/wetlands/187.html"
"Бассейн реки Польта","81.75","59.8","","3, 8","M, O, Ts, Xp","http://www.fesk.ru/wetlands/188.html"
"Вороговское многоостровье","89.53333","61.2","34000","1, 3, 5, 8","M, P, Ts, Xf","http://www.fesk.ru/wetlands/189.html"
"Елогуй-Артюгинское междуречье и левобережная пойма Среднего Енисея","87.41667","63.18333","57000","1, 3, 5","M, N, P, Tp, Ts, W, Xf","http://www.fesk.ru/wetlands/190.html"
"Большие Крутинские озёра","71.73333","56.13333","30000","1, 3","O","http://www.fesk.ru/wetlands/191.html"
"Саратовское болото","93.61667","56.51667","9400","1, 2, 6","Xp, U, Xf","http://www.fesk.ru/wetlands/192.html"
"Озеро Косоголь и прилегающая пойма реки Сереж (участок Сельгон)","90.25","55.5","10000","1, 3, 5","Ts, Tp, O, P, M","http://www.fesk.ru/wetlands/193.html"
"Озеро Улуг-Коль","90.83333","53.81667","750","1, 2, 3, 6","Q, Sp, P","http://www.fesk.ru/wetlands/194.html"
"Озёра Койбальской степи","91.18333","53.3","","—","Q","http://www.fesk.ru/wetlands/195.html"
"Карасукско-Бурлайская система озёр","78.21667","53.68333","2000","1, 3, 4, 5","O","http://www.fesk.ru/wetlands/196.html"
"Кулундинские озёра","79.61667","52.86667","200000","1, 3, 4, 5","Q","http://www.fesk.ru/wetlands/197.html"
"Полуостров Хара-Тумус и прилегающее побережье бухты Нордвик","111.5","73.83333","120000","1, 3","O, Vt, Tp, M","http://www.fesk.ru/wetlands/198.html"
"Дельта реки Лена","126.25","72.48472","2850000","1, 2, 3, 4, 5, 6, 8","F, Vt","http://www.fesk.ru/wetlands/199.html"
"Дельта Индигирки и Хромо-Сундрунское междуречье","147.75","71.53472","1608000","1, 2, 5","Vt","http://www.fesk.ru/wetlands/200.html"
"Верховья реки Хрома","141.56806","70.5","113000","1, 2, 5","Vt","http://www.fesk.ru/wetlands/201.html"
"Индигиро-Колымское междуречье и западная часть дельты реки Колыма","154.06806","70.41667","2106500","2, 3, 4, 6","H, M, O, R","http://www.fesk.ru/wetlands/202.html"
"Восточная часть дельты реки Колыма","161.68333","69.21667","280000","1, 2, 3, 4","F, O, Vt","http://www.fesk.ru/wetlands/203.html"
"Дельта реки Яна","135.75","71.33333","800000","1, 2, 3, 5","L","http://www.fesk.ru/wetlands/204.html"
"Медвежьи острова","161.45139","70.78333","6000","1, 3, 4","D, E, H, Sp, Ss, Tp, Ts","http://www.fesk.ru/wetlands/205.html"
"Бассейн реки Санга-Урях","142.61806","71.20139","284000","4, 5","Vt","http://www.fesk.ru/wetlands/206.html"
"Система озёр Колымо-Алазейской низменности","155.25","68.53333","62200","3, 4, 5","O","http://www.fesk.ru/wetlands/207.html"
"Кежемское многоостровье","102.0","58.91667","25000","1, 3, 5","M, Ts, Tp, P","http://www.fesk.ru/wetlands/208.html"
"Муруктинская Котловина","102.45","67.15","42000","1, 3, 5","M, Ts, U, Xf","http://www.fesk.ru/wetlands/209.html"
"Бассейн реки Муна","120.5","67.83333","2500000","1, 3, 5, 6","M, O, Tp","http://www.fesk.ru/wetlands/210.html"
"Тюхтетско-Шадатские болота","89.33333","56.58333","26400","1, 2, 3, 6","Xp, U","http://www.fesk.ru/wetlands/211.html"
"Озеро Хадын","94.5","51.33333","2500","1, 3, 5, 6","Q","http://www.fesk.ru/wetlands/212.html"
"Алдано-Амгинское междуречье","134.25","61.85139","831520","2, 3","M, O, Tp","http://www.fesk.ru/wetlands/213.html"
"Алдано-Майское междуречье","132.61806","60.08333","663800","1, 2, 3, 6","M, O, Tp","http://www.fesk.ru/wetlands/214.html"
"Долина Средней Лены и междуречье Дянышки и Ляписке","126.08333","65.16667","1016000","1, 2, 3, 5","M, O, P","http://www.fesk.ru/wetlands/215.html"
"Озеро Белое в Центрально-Якутской низменности","129.08333","63.41667","35813","1, 3","O, Xf","http://www.fesk.ru/wetlands/216.html"
"Озеро Ниджили","125.20139","63.61806","11900","4, 5","O","http://www.fesk.ru/wetlands/217.html"
"Устья рек Верхняя Ангара и Кичера","109.75","55.91667","58000","1, 2, 3, 5, 8","L, M, O, Tp","http://www.fesk.ru/wetlands/218.html"
"Озеро Торе-Холь","95.0","50.03333","7000","1, 2, 3, 5","O","http://www.fesk.ru/wetlands/219.html"
"Остров Врангеля","179.45","71.2","767000","1, 2, 3, 5, 6","Vt, A, B, D, E","http://www.fesk.ru/wetlands/220.html"
"Колючинская Губа","174.4","66.71667","","1, 2, 3, 6","A","http://www.fesk.ru/wetlands/221.html"
"Северная часть залива Корфа","166.30139","60.41667","10000","1, 3, 5, 6","A, B, E, J","http://www.fesk.ru/wetlands/222.html"
"Бухта Гека","165.16667","60.1","5000","1, 3","A, F, G, J, M, Tp","http://www.fesk.ru/wetlands/223.html"
"Лагуна Маламваям","162.41667","57.73472","17000","1, 2, 3, 5, 6","A, E, F, G, H, J","http://www.fesk.ru/wetlands/224.html"
"Заливы запада Охотского моря: Удская губа, Тугурский, Ульбанский, Константиновский","137.06667","54.36667","","1, 2, 3, 5, 6","A, G, H","http://www.fesk.ru/wetlands/225.html"
"Лагуны северо-восточного побережья острова Сахалин","143.25139","51.28472","","1, 3, 5, 6, 8","J","http://www.fesk.ru/wetlands/226.html"
"Заболоченная низменность от залива Виахту до долины реки Теньга на северо-западном побережье Сахалина","141.75139","51.13472","","1, 2, 3, 5","Ts, O, P","http://www.fesk.ru/wetlands/227.html"
"Озеро Невское с прилегающей низменностью","143.48333","49.33333","","1, 2, 3, 5, 8","O, L, U, Ts","http://www.fesk.ru/wetlands/228.html"
"Бухта Лососей в заливе Анива","142.76667","46.63333","","1, 3, 5, 8","A, B, G, H, F","http://www.fesk.ru/wetlands/229.html"
"Озеро Харчинское","160.85139","56.53472","10000","1, 3, 5, 6","M, O, Tp","http://www.fesk.ru/wetlands/230.html"
"Озеро Нерпичье","162.76667","56.38472","50000","1, 3, 5","J, M, Tp, U","http://www.fesk.ru/wetlands/231.html"
"Семячикский Лиман","160.0","53.91667","1200","1, 3, 4","F, G, H, J, K, M, Tp","http://www.fesk.ru/wetlands/232.html"
"Жупановский Лиман","159.90139","53.61806","4000","1, 2, 3, 5, 6","F, H, J","http://www.fesk.ru/wetlands/233.html"
"Устье реки Вахиль","153.61667","53.25","1000","3, 5","A, E, F, G, M","http://www.fesk.ru/wetlands/234.html"
"Авачинская бухта","158.53472","52.96806","25000","1, 2, 3, 5, 6","A, D, E, G, H, L, M, O, Tp, U","http://www.fesk.ru/wetlands/235.html"
"Озёра Большое и Малое","156.45","52.48472","16000","1, 3, 5, 6","J, E, G, H, Vt","http://www.fesk.ru/wetlands/236.html"
"Междуречье Опалы и Галыгина","156.61667","51.96667","","1, 2, 3, 4, 6","M, O, Tp, U, Vt","http://www.fesk.ru/wetlands/237.html"
"Низовье реки Камчатка","161.58333","56.25","80000","1, 3, 5","M, O, Tp, U","http://www.fesk.ru/wetlands/238.html"
"Термоминеральные источники долины реки Киревна","159.96806","56.75","29760","1, 2, 3","Zg","http://www.fesk.ru/wetlands/239.html"
"Первый Курильский пролив","156.58333","50.83333","15000","1, 3, 4, 5","A, B","http://www.fesk.ru/wetlands/240.html"
"Прибрежная акватория островов Кунашир и Малой Курильской гряды, включая республиканский заказник Малые Курилы","146.13333","43.86667","25000","1, 3","A, B, D","http://www.fesk.ru/wetlands/241.html"
"Хасан — дельта реки Туманная","130.68333","42.30139","87400","1, 2, 3, 4, 5","A, F, D, E, G, J, H, M, O, P, Q","http://www.fesk.ru/wetlands/242.html"
"Низовья реки Чукочья","159.53667","70.10472","45000","1, 2, 3, 7","A, F, M, O, Q, Vt","http://www.fesk.ru/wetlands/243.html"
"Дельта Колымы","160.5","69.46667","650000","1, 2, 3, 4, 7","A, F, M, O, Q, Vt","http://www.fesk.ru/wetlands/244.html"
"Халерчинская тундра","158.17972","69.12722","360000","1, 3, 4, 5","M, O, Vt","http://www.fesk.ru/wetlands/245.html"
"Низовья реки Раучуа и полуостров Кыттык","166.60417","69.30389","25000","1, 2","A, F, G, H, M, O, Q, Vt","http://www.fesk.ru/wetlands/246.html"
"Усть-Чаун","170.53917","68.77944","25000","1, 3, 8","A, E, F, G, M, O, Vt","http://www.fesk.ru/wetlands/247.html"
"Губа Нольде","173.34139","69.82528","100000","—","A, E, F, M, Vt","http://www.fesk.ru/wetlands/248.html"
"Мыс Биллингса","176.08333","69.87472","70000","5","E, F, H, J, M, O, Vt","http://www.fesk.ru/wetlands/249.html"
"Илирнейские озёра","168.42889","67.37556","20000","—","O, M","http://www.fesk.ru/wetlands/250.html"
"Омолон-Анюйское междуречье","158.51944","68.11444","450000","1, 3","M, O","http://www.fesk.ru/wetlands/251.html"
"Среднее течение реки Омолон","159.12944","66.06111","35000","1","M, O, Tp","http://www.fesk.ru/wetlands/252.html"
"Балыгычанская впадина","153.61222","63.78694","50000","1","M, O, Tp","http://www.fesk.ru/wetlands/253.html"
"Озеро Джека Лондона","149.49278","62.08861","3500","—","O","http://www.fesk.ru/wetlands/254.html"
"Низовья реки Амгуэма и лагуна Укоуге","171.50444","68.01222","140000","1, 3, 7","F, J, M, O, Vt","http://www.fesk.ru/wetlands/255.html"
"Остров Колючин","174.77444","67.4575","400","—","D","http://www.fesk.ru/wetlands/256.html"
"Коса Беляка (север Колючинской губы)","174.1875","67.04","72000","1, 2, 3, 7","E, H, Q, Vt","http://www.fesk.ru/wetlands/257.html"
"Колючинская губа (южная часть)","174.00583","66.22583","120000","1, 2, 6","J, M, Vt","http://www.fesk.ru/wetlands/258.html"
"Озеро Иони","173.75861","65.87556","3000","—","O, Vt","http://www.fesk.ru/wetlands/259.html"
"Низовья реки Чегитунь","171.07861","66.56333","5000","—","J, M","http://www.fesk.ru/wetlands/260.html"
"Уэленская и Инчоунская лагуны","169.8","66.15556","60000","—","E, F, J","http://www.fesk.ru/wetlands/261.html"
"Озеро Коолень","170.97972","65.98444","2000","—","O","http://www.fesk.ru/wetlands/262.html"
"Мечигменская губа","172.08944","65.47917","150000","1, 3, 5, 7","A, E, F, G, H, Q, Vt, Zg","http://www.fesk.ru/wetlands/263.html"
"Сенявинские проливы","172.34667","64.60917","120000","1, 2, 3, 4","A, D, E, M, Vt, Zg","http://www.fesk.ru/wetlands/264.html"
"Низовья реки Автоткуль","177.86806","64.08333","400000","1, 2, 3, 5, 6","A, E, F, G, V, O, Q, Vt","http://www.fesk.ru/wetlands/265.html"
"Марковская впадина","171.05083","65.14056","350000","1, 4, 5, 8","L, M, O, Vt, W","http://www.fesk.ru/wetlands/266.html"
"Озеро Эльгыгыткин","172.16778","67.44","25000","1, 3, 7","O","http://www.fesk.ru/wetlands/267.html"
"Малкачанская тундра","154.19556","59.86639","65000","1, 2, 4, 5, 6, 8","A, B, E, F, G, H, M, O, Tp, Vt","http://www.fesk.ru/wetlands/268.html"
"Ямские острова","155.54361","59.32639","40000","4, 5","D","http://www.fesk.ru/wetlands/269.html"
"Накхатанджинская тундра","154.16667","59.61667","75000","1, 4, 5","A, B, F, G, O, Vt","http://www.fesk.ru/wetlands/270.html"
"Бабушкин залив","153.37972","59.21167","30000","1, 3, 4","A, B, E, G","http://www.fesk.ru/wetlands/271.html"
"Залив Одян и остров Умара","154.77278","59.15","60000","—","A, B, D, E","http://www.fesk.ru/wetlands/272.html"
"Озеро Чистое","151.75556","59.56083","9600","—","O","http://www.fesk.ru/wetlands/273.html"
"Ольская лагуна","151.3875","59.57861","3000","1, 2, 4, 5, 7","A, B, E, F, G","http://www.fesk.ru/wetlands/274.html"
"Мотыклейский залив","148.97944","59.45333","50000","—","A, B, D, G, Zg","http://www.fesk.ru/wetlands/275.html"
"Остров Талан","149.07222","59.31611","2500","3, 5, 6","A, D, E","http://www.fesk.ru/wetlands/276.html"
"Кавинская равнина и озеро Чукча","147.5","59.58333","62500","1, 2, 3, 6","M, O, W","http://www.fesk.ru/wetlands/277.html"
"Эликчанские озёра","151.89806","60.72139","1200","—","O","http://www.fesk.ru/wetlands/278.html"
"Озёра Хал-Деги","145.83778","61.65694","20000","—","M, O","http://www.fesk.ru/wetlands/279.html"
"Удская губа","135.25","55.45","204000","2, 5, 8","A, E, F, G, H, M, O, Ss, Tp, U, W, Xf, Xp","http://www.fesk.ru/wetlands/280.html"
"Шантарские острова","137.5","55.0","400000","1, 2, 5, 7, 8","A, D, E, F, M, O, Tp, W","http://www.fesk.ru/wetlands/281.html"
"Заливы Тугурский и Константина","137.08333","54.36667","114000","1, 2","A, D, E, F, G, M, Tp, U, W, Xp","http://www.fesk.ru/wetlands/282.html"
"Заливы Ульбанский и Николая","138.03333","53.6","280000","1, 2, 5","A, D, E, F, G, M, O, Tp, U, W, Xp","http://www.fesk.ru/wetlands/283.html"
"Озеро Мухтеля и залив Нерпичий","138.93333","54.11806","53800","1, 2, 5","A, E, F, K, L, M, O, U","http://www.fesk.ru/wetlands/284.html"
"Залив Счастья","141.13333","53.41361","56000","2, 5, 8","A, B, D, E, G, H, J, M, Sp, Tp, U, W","http://www.fesk.ru/wetlands/285.html"
"Бассейны рек Томь и Альдикон","129.85","51.48472","760000","1, 2, 4","Ts, Tp, O, M, Xp","http://www.fesk.ru/wetlands/286.html"
"Южная часть Зейско-Буреинской равнины","127.60139","48.5","34400","1, 2","Ts, O, M","http://www.fesk.ru/wetlands/287.html"
"Архаринская низменность","130.11667","49.21667","942000","1, 2","Ts, Tp, O, M","http://www.fesk.ru/wetlands/288.html"
"Озеро Забеловское","133.86667","48.3","262600","1, 2, 8","O, P, Ts","http://www.fesk.ru/wetlands/289.html"
"Озеро Болонь","136.1","49.61667","430200","1, 2, 5, 8","L, M, O, Tp, Ts, W","http://www.fesk.ru/wetlands/290.html"
"Озеро Чукчагирское","136.6","52.25","202800","1, 2, 5","M, O, U","http://www.fesk.ru/wetlands/291.html"
"Озеро Эворон","136.76667","51.76667","216900","1, 2, 8","M, O, Tp, Ts","http://www.fesk.ru/wetlands/292.html"
"Низовья реки Амгунь","139.6","52.93333","174000","1, 2, 5, 8","L, M, O, Tp, Ts, U, Xf, Xp","http://www.fesk.ru/wetlands/293.html"
"Озёра Орель и Чля","139.91667","53.5","127700","1, 2, 8","M, O, P, Tp, Ts","http://www.fesk.ru/wetlands/294.html"
"Амурский лиман","141.23333","53.06667","63600","2, 5, 6, 8","A, B, D, E","http://www.fesk.ru/wetlands/295.html"
"Озеро Удыль","139.75","52.06667","434900","1, 2, 3, 4, 5, 8","L, M, O, Tp, Ts, U, W","http://www.fesk.ru/wetlands/296.html"
"Бикинско-Алчанское междучерье","134.66667","46.58333","293900","1, 2, 6","M, Tp","http://www.fesk.ru/wetlands/297.html"
"Озеро Ханка","132.68333","44.83333","280000","1, 2, 5, 6, 8","L, M, O, Tp, 3","http://www.fesk.ru/wetlands/298.html"
"Дельта реки Раздольной","131.8","43.08333","7700","1, 2, 5","A, D, E, F, G, H, J, O, Tp","http://www.fesk.ru/wetlands/299.html"
"Острова Верховского и Карамзина","131.8","42.88333","400","2, 5, 6","D","http://www.fesk.ru/wetlands/300.html"
"Низовье реки Туманной (Туманган)","130.75","42.53333","78000","2, 5","A, D, E, F, G, H, J, M, O, P, Q","http://www.fesk.ru/wetlands/301.html"
"Заливы и озёра северо-западного Сахалина","141.86667","51.96667","202400","1, 2, 5","A, E, F, G, H, J, K, M, O, Tp, Ts, U, Xp, Xf","http://www.fesk.ru/wetlands/302.html"
"Озёра Айнской низменности","142.05","48.51667","21400","1, 2, 5","A, E, H, J, K, O, Tp, Xp","http://www.fesk.ru/wetlands/303.html"
"Остров Монерон и окружающая акватория","141.23333","46.25","5400","1, 2","A, D, E, M","http://www.fesk.ru/wetlands/304.html"
"Полуостров Шмидта","142.65","54.2","164300","1, 2, 5","A, G, E, H, J, M, O, Tp, Xp","http://www.fesk.ru/wetlands/305.html"
"Заливы Байкал и Помрь","142.48333","53.51667","187800","1, 2, 5","A, E, G, H, J, K, M, O, Tp, Xp","http://www.fesk.ru/wetlands/306.html"
"Лагуны северо-восточного побережья Сахалина","143.31667","51.95","375000","1, 2, 5","A, E, F, G, H, J, K, M, O, Tp, Ts, U, Xp, Xf","http://www.fesk.ru/wetlands/307.html"
"Озеро Невское и прилегающая низменность","143.33333","49.3","73000","1, 2, 5","A, E, G, H, J, K, M, O, P, Tp, Ts, Xp","http://www.fesk.ru/wetlands/308.html"
"Остров Тюлений, полуостров Терпения и прилегающая акватория","144.63333","48.48333","65500","1, 2, 5","A, D, E, H, J, M, O, R, U, Xp, Vt","http://www.fesk.ru/wetlands/309.html"
"Бухта Лососей","142.68333","46.7","19400","1, 2, 5","A, E, F, G, H, J, K","http://www.fesk.ru/wetlands/310.html"
"Озёра и лагуны Муравьёвской низменности","143.26667","46.6","115000","1, 2, 5","A, E, H, J, K, O, Tp, Xp","http://www.fesk.ru/wetlands/311.html"
"Остров Кунашир и Малая Курильская гряда","145.98333","44.08333","181200","1, 2, 5","A, D, E, F, H, J, K, M, O, Tp","http://www.fesk.ru/wetlands/312.html"
"Дельта Дона","39.45","47.18333","75000","1, 2, 3, 4, 5, 7, 8","A, F, G, L, M, O, Tp, Ts, 1, 4, 6, 8, 9","http://www.fesk.ru/wetlands/313.html"
"Веселовское водохранилище","41.25","47.0","254400","1, 2, 3, 4, 5, 6","O, 3, 1","http://www.fesk.ru/wetlands/314.html"
"Озеро Маныч-Гудило","42.75","46.33333","235000","1, 2, 3, 4, 5, 6","Q, R, M, N, 1, 2","http://www.fesk.ru/wetlands/315.html"
"Курников лиман","43.2","46.41667","1600","1, 2, 3, 4","O, 1","http://www.fesk.ru/wetlands/316.html"
"Приморско-Ахтарская система озёр","38.125","46.0","12200","2, 4","H, J, K","http://www.fesk.ru/wetlands/317.html"
"Таманский и Динской заливы Чёрного моря","36.76278","45.29278","38400","4, 5","A, E, G, J","http://www.fesk.ru/wetlands/318.html"
"Анапские плавни","37.30833","44.56667","1000","3, 4","O","http://www.fesk.ru/wetlands/319.html"
"Ахтанизовская система лиманов","37.20417","45.29361","21500","3, 4","O, 9","http://www.fesk.ru/wetlands/320.html"
"Новороссийская бухта","37.8","44.71667","4800","4, 5","A","http://www.fesk.ru/wetlands/321.html"
"Варнаво-Крюковская ирригационная система","38.41667","45.66667","54720","2, 4, 5","1, 3, 6","http://www.fesk.ru/wetlands/322.html"
"Понурский лиман","38.625","45.49583","1800","2, 4, 6","O","http://www.fesk.ru/wetlands/323.html"
"Краснодарское водохранилище","39.38333","45.01667","42000","2, 4, 5","6","http://www.fesk.ru/wetlands/324.html"
"Имеретинская низменность","39.98333","43.28333","2250","1, 2, 3, 4, 5","E, Tp, 2, 9","http://www.fesk.ru/wetlands/325.html"
"Новотроицкое водохранилище","44.33333","45.5","3000","2, 5, 6","6","http://www.fesk.ru/wetlands/326.html"
"Озеро Птичье","41.71667","45.58333","3500","2","Q","http://www.fesk.ru/wetlands/327.html"
"Солёные озёра","42.85","45.21667","4500","2","Q","http://www.fesk.ru/wetlands/328.html"
"Бурукшунские лиманы","42.45","45.96667","3600","2","Sp, Ss","http://www.fesk.ru/wetlands/329.html"
"Чограйское водохранилище","44.33333","45.5","25000","2, 5, 6","3, 6","http://www.fesk.ru/wetlands/330.html"
"Озеро Солёное","44.63333","45.4","1500","2","O, Q, Ss, Tp","http://www.fesk.ru/wetlands/331.html"
"Дадынские озёра","45.1","45.25","25000","2, 5, 6","Q, Ss","http://www.fesk.ru/wetlands/332.html"
"Долина реки Кумы","45.63333","44.96667","6000","2","M, P, Ts","http://www.fesk.ru/wetlands/333.html"
"Водохранилище Бекан","44.26667","43.25","200","4","M, O, 1","http://www.fesk.ru/wetlands/334.html"
"Высокогорный озёрно-болотный комплекс реки Дзитаку","40.38333","43.75","10","1, 2","Tp, U, Va","http://www.fesk.ru/wetlands/335.html"
"Луганское высокогорное болото","40.68333","43.71667","12","1, 2","Tp, U, Va","http://www.fesk.ru/wetlands/336.html"
"Комплекс водохранилищ среднегорья Кубанской системы (Аксаутское, Марухское, Усть-Джегутинское водохранилища)","41.69","43.78889","360","2","O","http://www.fesk.ru/wetlands/337.html"
"Кубанское водохранилище и озеро Малое","42.27","44.23","8108","2, 5","O, 1, 3","http://www.fesk.ru/wetlands/338.html"
"Озеро Уллу-Кёль","41.94278","43.32417","865","1, 2","M, O, Va","http://www.fesk.ru/wetlands/339.html"
"Болота Приэльбрусья","42.4","43.51667","2630","1","M, Tp, Va","http://www.fesk.ru/wetlands/340.html"
"Озеро Галанчож","45.31667","42.88333","21","1, 2, 4","M, O","http://www.fesk.ru/wetlands/341.html"
"Озеро Казеной-Ам","46.15","42.8","500","1, 2","M, O","http://www.fesk.ru/wetlands/342.html"
"Богосские ледники","46.25","42.33333","10000","1, 2, 3","Va","http://www.fesk.ru/wetlands/343.html"
"Базардюзи-Шалбуздагские высокогорья","47.81667","41.28333","15000","1, 2, 3","Va","http://www.fesk.ru/wetlands/344.html"
"Мочохское озеро","46.63333","42.65","200","1, 2","M, O","http://www.fesk.ru/wetlands/345.html"
"Чирюртовское водохранилище","46.85","43.11667","800","4","M, O","http://www.fesk.ru/wetlands/346.html"
"Кизлярский залив","47.08333","44.56667","110000","1, 2, 3, 4, 5, 6, 7, 8","A, B, E, F","http://www.fesk.ru/wetlands/347.html"
"Нижнекумские разливы","46.8","44.8","3000","2, 3, 6","M, O, P, Tp, Ts","http://www.fesk.ru/wetlands/348.html"
"Озёра Будары","46.35","43.58333","1500","2, 3, 4","O, Q, Ts","http://www.fesk.ru/wetlands/349.html"
"Бакасские болота","47.1","43.23333","3500","1, 2, 3, 4","O","http://www.fesk.ru/wetlands/350.html"
"Водохранилище Мехтеб","47.43333","43.35","2000","2, 4","O, Ts","http://www.fesk.ru/wetlands/351.html"
"Дельта реки Самур","48.5","41.85","10000","1, 2, 3, 4, 5, 7, 8","K, L, M, N, O, Tr, Xf","http://www.fesk.ru/wetlands/352.html"
"Озеро Аджи","48.1","42.33333","3000","1, 2, 3, 4, 5, 6","Q, R","http://www.fesk.ru/wetlands/353.html"
"Супакская бухта","47.51667","43.33333","600","2, 4","A, E, G","http://www.fesk.ru/wetlands/354.html"
"Каракольские озёра","46.8","44.26667","15000","2, 4, 5","L, M, O, Ts","http://www.fesk.ru/wetlands/355.html"
"Ачикольская система озёр","47.31667","43.81667","30000","2, 4, 5","L, M, O, Ts","http://www.fesk.ru/wetlands/356.html"
"Темиргойские озёра","47.21667","43.15","3000","2, 3, 4","O, Q, R, Sp, Ss, Tr, Ts","http://www.fesk.ru/wetlands/357.html"
"Сулакская лагуна","47.53333","43.21667","1000","2, 3, 4","K, F","http://www.fesk.ru/wetlands/358.html"
"Солёные озёра Маныч","46.41667","44.43333","1500","1, 2, 3, 4","Q, R","http://www.fesk.ru/wetlands/359.html"
"Аграханский залив и дельта реки Терек (Северный Аграхан)","47.48333","43.75","15000","1, 2, 3, 4, 5, 7, 8","F, G, H, L, M, Q, Ts","http://www.fesk.ru/wetlands/360.html"
"Озеро Южный Аграхан","47.4","43.53333","15000","1, 2, 3, 4, 5, 7, 8","K, L, M, Q, Sp, Ts","http://www.fesk.ru/wetlands/361.html"
"Озёра Турали","47.68333","42.83333","1200","4","Q","http://www.fesk.ru/wetlands/362.html"
"Озеро Шайтан-Казак","46.95","43.31667","500","2, 3","O","http://www.fesk.ru/wetlands/363.html"
"Озёра Капустино, Майорское, Генеральское","45.3","43.78333","42","2, 4","O","http://www.fesk.ru/wetlands/364.html"
"Урочище Киссык","46.05","43.73333","250","2, 3, 4","O, Q, Ss","http://www.fesk.ru/wetlands/365.html"